CCTV-13,rtp://238.200.200.122:5540
CCTV-14,rtp://238.200.200.123:5540
CCTV-15,rtp://238.200.200.124:5540
CCTV-17,rtp://238.200.200.244:5540
北京卫视,rtp://238.200.200.47:5540
江苏卫视,rtp://238.200.200.48:5540
浙江卫视,rtp://238.200.200.49:5540
湖南卫视,rtp://238.200.200.50:5540
山东卫视,rtp://238.200.200.51:5540
黑龙江卫视,rtp://238.200.200.52:5540
安徽卫视,rtp://238.200.200.156:5540
天津卫视,rtp://238.200.200.158:5540
江西卫视,rtp://238.200.200.159:5540
辽宁卫视,rtp://238.200.200.155:5540
湖北卫视,rtp://238.200.200.53:5540
广东卫视,rtp://238.200.200.54:5540
深圳卫视,rtp://238.200.200.55:5540
东南卫视,rtp://238.200.200.157:5540
中国教育-1,rtp://238.200.200.56:5540
四川卫视,rtp://238.200.200.154:5540
重庆卫视,rtp://238.200.200.169:5540
河北卫视,rtp://238.200.200.167:5540
河南卫视,rtp://238.200.200.171:5540
甘肃卫视,rtp://238.200.200.166:5540
青海卫视,rtp://238.200.200.162:5540
云南卫视,rtp://238.200.200.165:5540
广西卫视,rtp://238.200.200.153:5540
贵州卫视,rtp://238.200.200.170:5540
吉林卫视,rtp://238.200.200.160:5540
海南卫视,rtp://238.200.200.152:5540
三沙卫视,rtp://238.200.200.174:5540
金鹰卡通,rtp://238.200.200.175:5540
嘉佳卡通,rtp://238.200.200.245:5540
卡酷卡通,rtp://238.200.200.246:5540
家庭理财,rtp://238.200.200.188:5540
北京卫视4K,rtp://238.200.200.11:5540
直播室101,rtp://238.200.200.143:5540
直播室102,rtp://238.200.200.144:5540
直播室103,rtp://238.200.200.145:5540
直播室104,rtp://238.200.200.146:5540
直播室105,rtp://238.200.200.147:5540
直播室106,rtp://238.200.200.148:5540
直播室107,rtp://238.200.200.149:5540
直播室108,rtp://238.200.200.214:5540
直播室109,rtp://238.200.200.215:5540
直播室110,rtp://238.200.200.216:5540
直播室111,rtp://238.200.200.217:5540
测试CCTV-6HD,rtp://238.200.200.251:5540
CCTV-1,rtp://238.200.200.98:5540
导视,rtp://238.200.200.78:5540
